Entity,Code,Year,Number of Internet users
World,OWID_WRL,1990,2617438
World,OWID_WRL,1991,4280727
World,OWID_WRL,1992,6885825
World,OWID_WRL,1993,9978025
World,OWID_WRL,1994,20372971
World,OWID_WRL,1995,39137572
World,OWID_WRL,1996,77094037
World,OWID_WRL,1997,120463190
World,OWID_WRL,1998,187786430
World,OWID_WRL,1999,280906271
World,OWID_WRL,2000,414012675
World,OWID_WRL,2001,502048980
World,OWID_WRL,2002,664525411
World,OWID_WRL,2003,780605617
World,OWID_WRL,2004,912780834
World,OWID_WRL,2005,1029379295
World,OWID_WRL,2006,1160582058
World,OWID_WRL,2007,1372292168
World,OWID_WRL,2008,1572943471
World,OWID_WRL,2009,1770692408
World,OWID_WRL,2010,2021152970
World,OWID_WRL,2011,2218882121
World,OWID_WRL,2012,2426854827
World,OWID_WRL,2013,2598607664
World,OWID_WRL,2014,2793663749
World,OWID_WRL,2015,3004582521
World,OWID_WRL,2016,3256215846
World,OWID_WRL,2017,3483746104
World,OWID_WRL,2018,3795522333
World,OWID_WRL,2019,4194081858
World,OWID_WRL,2020,4699886462
